name,type,region,locality,geolocation
Castle Ragnit,architecture,Kaliningrad region,Neman,"(Decimal('22.011392'), Decimal('55.036117'))"
Castle Tapiau,architecture,Kaliningrad region,Gvardeysk,"(Decimal('21.068862'), Decimal('54.635845'))"
Castle Tilsit,architecture,Kaliningrad region,Sovetsk,"(Decimal('21.888647'), Decimal('55.081029'))"
Castle Cherchesova,architecture,Republic of North Ossetia - Alania,Tsamad,"(Decimal('44.17434'), Decimal('42.862701'))"
Castle frigate,architecture,Republic of North Ossetia - Alania,Zadalesk,"(Decimal('43.803479'), Decimal('43.007689'))"
The belfry of St. Sophia Cathedral,architecture,Novgorod region,Novgorod,"(Decimal('31.269915'), Decimal('58.52281'))"
Building 12 boards,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
"The building of ""Batman""",architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
"The building of ""Grand Hotel""",architecture,Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
"The building of the ""House of Soviets""",architecture,Krasnodar region,Gelendzhik,"(Decimal('38.048153'), Decimal('44.589733'))"
The building of the Administration of the Smolensk region,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
The building of the Administration of Volgograd,architecture,Volgograd region,Volgograd,"(Decimal('44.588822'), Decimal('48.455318'))"
The building of the Administration of Smolensk,architecture,Smolensk region,Smolensk,"(Decimal('32.082333'), Decimal('54.770842'))"
The building of the Academy of Sciences,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Arsenal building,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Assignation Bank building,architecture,St. Petersburg,St. Petersburg,"(Decimal('28.333888'), Decimal('60.333885'))"
Stock Exchange building,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
The building of the Noble Assembly,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
The building of the British Consulate,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
The building of the Warsaw Station,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.298989'), Decimal('59.907929'))"
The building of Vneshtorgbank,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
The building of the Volgograd distillery,architecture,Volgograd region,Volgograd,"(Decimal('44.444149'), Decimal('48.690263'))"
The building of the Admiralty,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
The General Staff building,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
buildings of Hlavpochtamta,architecture,Nenets Autonomous Okrug,Naryan-Mar,"(Decimal('53.006926'), Decimal('67.63805'))"
The building of the City Duma,architecture,Transbaikal region,Nerçinsk,"(Decimal('116.585415'), Decimal('51.95948'))"
The building of the State Bank,architecture,Krasnodar region,Krasnodar,"(Decimal('38.975313'), Decimal('45.03547'))"
The building of the State Bank,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
The building of Gostiny Dvor,architecture,Saratov region,Volsk,"(Decimal('47.38729'), Decimal('52.045978'))"
The building of the State Bank,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Wedding Palace building,architecture,Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
The building of the Palace of Youth,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.578197'), Decimal('56.906507'))"
House of Soviets,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.585508'), Decimal('51.834703'))"
The building houses the officers,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
The building of the Department of Gendarmes,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.584574'), Decimal('51.834464'))"
The building of the registrar,architecture,Mari El Republic,Yoshkar-Ola,"(Decimal('47.886178'), Decimal('56.631595'))"
Building Zemstvo,architecture,Saratov region,Volsk,"(Decimal('47.38729'), Decimal('52.045978'))"
building Ivselbanka,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
The building of Institute of Systematics and Ecology of Animals,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
Lyskovsky building plant,architecture,Nizhny Novgorod Region,Lıskovo,"(Decimal('45.040962'), Decimal('56.021357'))"
The building of the Medical Academy,architecture,Ivanovo region,Ivanovo,"(Decimal('40.973921'), Decimal('57.000348'))"
The building of the Academy of Medicine,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Meshchanskaya building council,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
The building of the Ministry of Youth and Sports of the Republic of Belarus,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.958727'), Decimal('54.735147'))"
Building Male progymnasium,architecture,Rostov region,Azov,"(Decimal('39.423581'), Decimal('47.112442'))"
The building of the museum Obdorsk,architecture,Yamalo-Nenets Autonomous Okrug,Salekhard,"(Decimal('66.614399'), Decimal('66.529844'))"
Building Obukhov Hospital,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.320818'), Decimal('59.922165'))"
The building of the national assembly,architecture,Transbaikal region,Nerçinsk,"(Decimal('116.585415'), Decimal('51.95948'))"
The building of the Novosibirsk Region Government (Krayispolkom),architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
Building public places (Pskov Cadet Corps),architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
building ICB,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Building vocational school them. Ekaterina and Fedor Berezin,architecture,Kurgan region,Mound,"(Decimal('65.341118'), Decimal('55.441004'))"
The building of the Russian-Chinese Bank,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
The building of the Union of Siberian butter-making artisanal,architecture,Kurgan region,Mound,"(Decimal('65.349437'), Decimal('55.500601'))"
The building of the University of Technology,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
The building of the Chamber of Commerce,architecture,Krasnodar region,Krasnodar,"(Decimal('38.975313'), Decimal('45.03547'))"
"Building of the ""Zapsibzoloto""",architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
The building of the Federal Treasury,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
CEC building tips Siberia,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.585508'), Decimal('51.834703'))"
The Central Hotel,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Headquarters building Guards Corps,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.383871'), Decimal('59.969628'))"
The building of the NAO Administration,architecture,Nenets Autonomous Okrug,Naryan-Mar,"(Decimal('52.984019'), Decimal('67.640708'))"
The building of the American Hotel,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Apothecary Building Altshuler,architecture,Republic of Adygea,Maikop,"(Decimal('40.098548'), Decimal('44.608865'))"
The building of the bishop's house,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
building Aeroclub,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
The building is named after VG library Belinsky,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.803674'), Decimal('56.75028'))"
The building of the library name Tvardovskii,architecture,Smolensk region,Smolensk,"(Decimal('32.063001'), Decimal('54.776934'))"
The building is the former home of the commune,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
"The building of the former cinema ""October""",architecture,Smolensk region,Smolensk,"(Decimal('32.129279'), Decimal('54.816099'))"
Building of the former City Council,architecture,Altai region,Barnaul,"(Decimal('83.757507'), Decimal('53.328273'))"
Building of the former City Council,architecture,Smolensk region,Smolensk,"(Decimal('32.046329'), Decimal('54.781467'))"
"The building of the former Hotel ""Smolensk""",architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
"Building domestic plant ""Rubin""",architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.379292'), Decimal('56.859365'))"
"The City Airport ""North""",architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
The building of the city market,architecture,Leningrad region,Vyborg,"(Decimal('28.749404'), Decimal('60.710232'))"
city ​​school building named after MV Lomonosov,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.012239'), Decimal('56.311247'))"
The building of the City Duma,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.224545'), Decimal('59.968597'))"
City Council building,architecture,Vologda Region,Vologda,"(Decimal('39.920484'), Decimal('59.214108'))"
Building city clinic,architecture,Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
The building of the Town Council,architecture,Perm,Solikamsk,"(Decimal('56.771029'), Decimal('59.648333'))"
"The building of the hotel ""Intourist""",architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
"The building of the hotel ""Hermitage""",architecture,Vologda Region,Vologda,"(Decimal('39.891523'), Decimal('59.220496'))"
The building of Gostiny Dvor,architecture,Tambov Region,Tambov,"(Decimal('41.452274'), Decimal('52.721219'))"
The building of the Diocesan School,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
The railway station building,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
"Railway station ""Novosibirsk-Main""",architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.89454'), Decimal('55.035318'))"
The building of an abandoned hospital,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.222904'), Decimal('57.062849'))"
building of the plant,architecture,Penza region,Nikolsky,"(Decimal('46.084356'), Decimal('53.71447'))"
The building of the Zemstvo in Demyansk,architecture,Novgorod region,Demyansk,"(Decimal('32.464423'), Decimal('57.642859'))"
Building barracks Smolensk Infantry Regiment named after General NNRaevsky,architecture,Voronezh region,Voronezh,"(Decimal('39.200269'), Decimal('51.660781'))"
"The building company ""VostSibUgol""",architecture,Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
The building of the consistory,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
Building clinics of medical specialists,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
The building of the Lutheran church,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
The building of the Lutheran church in Melnikovo,architecture,Leningrad region,Melnikovo,"(Decimal('29.772307'), Decimal('60.759873'))"
Building of meteorological station,architecture,Altai region,Barnaul,"(Decimal('81.431661'), Decimal('53.791236'))"
Building mineral baths,architecture,Lipetsk region,Lipetsk,"(Decimal('39.59922'), Decimal('52.60882'))"
The building of the gymnasium,architecture,Krasnoyarsk region,Pitorafik,"(Decimal('92.173769'), Decimal('58.453069'))"
The building is the gymnasium (high school №9),architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
The building of musical school number 1,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
The building of musical school №14,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
City Hall,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
"The building of Court wing of the museum ""Russian Antiquity""",architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
The building of the Nizhny Novgorod exchange,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.371857'), Decimal('56.64544'))"
Okruzhkoma buildings of the CPSU (b),architecture,Yamalo-Nenets Autonomous Okrug,Salekhard,"(Decimal('66.614399'), Decimal('66.529844'))"
County Courthouse,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
"The building of the hotel ""Baikal Plaza""",architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.584574'), Decimal('51.834464'))"
"The building of the hotel ""Metropol""",architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
The building is the first clinic,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.92043'), Decimal('55.030199'))"
"The building of the brewery ""Bohemia""",architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.877774'), Decimal('58.053107'))"
Post Office building,architecture,Kaluga region,Kaluga,"(Decimal('36.261215'), Decimal('54.513845'))"
The building design organizations,architecture,Arhangelsk region,Arkhangelsk,"(Decimal('40.515753'), Decimal('64.539911'))"
River School building,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
synagogue,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Smolensk gymnasium building named Przhevalsky,architecture,Smolensk region,Smolensk,"(Decimal('32.044379'), Decimal('54.784053'))"
The building of the cathedral bell tower,architecture,Perm,Solikamsk,"(Decimal('56.771029'), Decimal('59.648333'))"
"The building of the trading house ""E.Kuhterin and Sons""",architecture,Tomsk region,Tomsk,"(Decimal('84.947649'), Decimal('56.48464'))"
"The building is a department store ""Churin & Co"" in Blagoveshchensk",architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
buildings Studios,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Building parochial school,architecture,Novgorod region,Parfino,"(Decimal('31.646102'), Decimal('57.962973'))"
"Tea razvesochnoy building of the Trading House ""IJ Churin and Co. """,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
The building is a private bank,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
building drawing,architecture,Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
Building Chita synagogue,architecture,Transbaikal region,Chita,"(Decimal('113.501049'), Decimal('52.033635'))"
The school building named after Hero of the Soviet Union AN Arapova,architecture,Sverdlovsk region,Verkh-neyvinsky,"(Decimal('60.127539'), Decimal('57.276334'))"
Buildings public places,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.893804'), Decimal('57.626559'))"
office building Ekaterinburg State Bank,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.642516'), Decimal('56.909235'))"
Zelenograd museum of local lore,architecture,Kaliningrad region,zelenogradsk,"(Decimal('20.475354'), Decimal('54.95993'))"
Zemstvo,architecture,Yaroslavskaya oblast,Uglich,"(Decimal('38.319372'), Decimal('57.526592'))"
the Zemstvo,architecture,Perm,Solikamsk,"(Decimal('56.771029'), Decimal('59.648333'))"
the Zemstvo,architecture,Pskov region,Pskov,"(Decimal('28.413452'), Decimal('57.785344'))"
the Zemstvo,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
"Mirror Pond and Pavilion ""The glass jet""",architecture,Stavropol region,Kislovodsk,"(Decimal('42.722483'), Decimal('43.924317'))"
Winter Stadium (Mikhailovsky Manege),architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Znamenskaya (Vlasievskaya) tower,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.893804'), Decimal('57.626559'))"
Ziryanovsk hospice,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
"Having ""Help""",architecture,Tambov Region,Sovyetsk,"(Decimal('42.357829'), Decimal('52.238747'))"
The estate of the Romanovs in the village of Elbow,architecture,Bryansk region,Cubit,"(Decimal('34.712169'), Decimal('52.655131'))"
Imperial pavilion,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Imperial College deaf,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Ingerburgskie gates,architecture,Leningrad region,Gatchina,"(Decimal('30.124473'), Decimal('59.568492'))"
Insterburg,architecture,Kaliningrad region,Chernyahovsk,"(Decimal('21.819503'), Decimal('54.630706'))"
Institute of Physiology. Pavlova,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.312356'), Decimal('59.978079'))"
Irbitsky passage,architecture,Sverdlovsk region,Irbit,"(Decimal('63.044162'), Decimal('57.671316'))"
"Historical and archaeological and natural museum-reserve ""Manor Levasheva""",architecture,Nizhny Novgorod Region,Galibiha,"(Decimal('45.615597'), Decimal('56.75525'))"
Historical and archeological complex Salachik,architecture,Republic of Crimea,Bakhchisaray,"(Decimal('33.926512'), Decimal('44.776819'))"
"Historical and architectural complex ""Simbirsk defense line""",architecture,Ulyanovsk region,Ulyanovsk,"(Decimal('48.403123'), Decimal('54.314192'))"
"Historical and Architectural Museum ""Vyborg Castle""",architecture,Leningrad region,Vyborg,"(Decimal('28.739379'), Decimal('60.724622'))"
The historic center of Dubovka,architecture,Volgograd region,Dubovka,"(Decimal('44.826957'), Decimal('49.055369'))"
"Kazan street, 39",architecture,St. Petersburg,St. Petersburg,"(Decimal('30.310227'), Decimal('59.9291'))"
Kazan (Volga) Federal University,architecture,Republic of Tatarstan,Kazan,"(Decimal('49.120455'), Decimal('55.787872'))"
Breech women's gymnasium with a house church,architecture,Altai region,Barnaul,"(Decimal('83.606769'), Decimal('53.399814'))"
Stone-old LeAnn tas,architecture,The Republic of Khakassia,Kazanovka,"(Decimal('90.036102'), Decimal('53.221058'))"
Stone House tradesman TA Samsonovich,architecture,The Republic of Buryatia,Ulan-Ude,"(Decimal('107.584574'), Decimal('51.834464'))"
Chamber Hall of the Pomeranian Philharmonic,architecture,Arhangelsk region,Arkhangelsk,"(Decimal('40.515753'), Decimal('64.539911'))"
The Office of the Kolyvan-Resurrection plants,architecture,Altai region,Barnaul,"(Decimal('83.776856'), Decimal('53.346785'))"
The Office of the buildings,architecture,St. Petersburg,St. Petersburg,"(Decimal('29.137952'), Decimal('59.899676'))"
Nicolai Chapel on the island Lyudvigshtayn,architecture,Leningrad region,Vyborg,"(Decimal('28.725176'), Decimal('60.735528'))"
Cartouches in Totma,architecture,Vologda Region,Totma,"(Decimal('42.758873'), Decimal('59.973487'))"
leavened ranks,architecture,Kostroma region,Kostroma,"(Decimal('40.924792'), Decimal('57.767568'))"
Kylymovskyy dvorets,architecture,Republic of Bashkortostan,Carpeted,"(Decimal('54.624594'), Decimal('54.769871'))"
"Cinema ""Orion""",architecture,Belgorod region,Belgorod,"(Decimal('36.587223'), Decimal('50.59566'))"
"Cinema ""Victory"" (School Kulibina)",architecture,Volgograd region,Volgograd,"(Decimal('44.449925'), Decimal('48.714112'))"
"Cinema ""Art""",architecture,Irkutsk region,Irkutsk,"(Decimal('104.281047'), Decimal('52.287054'))"
"Church of the Holy Family, Kaliningrad (Kaliningrad Philharmonic Svetlanov)",architecture,Kaliningrad region,Kaliningrad,"(Decimal('20.512733'), Decimal('54.710454'))"
Chinese theater,architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Kologrivsky agri-Technical School. FV Chizhov,architecture,Kostroma region,Ekimcevo,"(Decimal('44.25605'), Decimal('58.827507'))"
"Bell tower of Trinity church, Znamenskaia",architecture,Ivanovo region,Lezhnev,"(Decimal('40.885985'), Decimal('56.775343'))"
Colonnade,architecture,Stavropol region,Kislovodsk,"(Decimal('42.716796'), Decimal('43.905225'))"
Commercial collection (Marfin House),architecture,Arhangelsk region,Arkhangelsk,"(Decimal('40.515753'), Decimal('64.539911'))"
commercial school,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
The complex of the former hospital of Upper Iset plant,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.634835'), Decimal('56.751716'))"
"The complex of high-rise buildings ""Grozny City""",architecture,Chechen Republic,formidable,"(Decimal('45.697918'), Decimal('43.315788'))"
The complex of buildings of the military almshouses and city hospital,architecture,Krasnodar region,Krasnodar,"(Decimal('38.970956'), Decimal('45.011726'))"
congress hall,architecture,Republic of Bashkortostan,Ufa,"(Decimal('55.958727'), Decimal('54.735147'))"
Horse Guards Manege,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.297776'), Decimal('59.933298'))"
Manor VM office Lukin,architecture,Amur region,Blagoveshchensk,"(Decimal('127.594655'), Decimal('50.342339'))"
Concert Hall Makletskogo,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Stables area,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.326253'), Decimal('59.941024'))"
Kopytenskie gates of the Smolensk fortress wall,architecture,Smolensk region,Smolensk,"(Decimal('31.89675'), Decimal('54.823061'))"
Korolyevskiy numbers,architecture,Perm,Permian,"(Decimal('56.36985'), Decimal('58.182201'))"
Kostel sv. Hyacinth,architecture,Leningrad region,Vyborg,"(Decimal('28.749404'), Decimal('60.710232'))"
Kostroma State Drama Theater named after A. Ostrovsky,architecture,Kostroma region,Kostroma,"(Decimal('40.926858'), Decimal('57.767961'))"
Regional Directorate of the Savings Bank of Russia,architecture,Krasnodar region,Krasnodar,"(Decimal('38.981808'), Decimal('45.093225'))"
the Red Square,architecture,Leningrad region,Vyborg,"(Decimal('28.749512'), Decimal('60.710381'))"
the Red Square,architecture,Kursk region,Kursk,"(Decimal('36.192629'), Decimal('51.729312'))"
Krasnoyarsk GES,architecture,Krasnoyarsk region,Divnogorsk,"(Decimal('92.380148'), Decimal('55.957721'))"
Krasnoyarsk GES,architecture,Krasnoyarsk region,Divnogorsk,"(Decimal('92.380148'), Decimal('55.957721'))"
Krasnoyarsk Big Ben,architecture,Krasnoyarsk region,Krasnoyarsk,"(Decimal('92.956489'), Decimal('56.008661'))"
Red Gostiny Dvor,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Gezlev fortress gates,architecture,Republic of Crimea,Yevpatoriya,"(Decimal('33.367634'), Decimal('45.190629'))"
Peasant Land Bank,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
round building,architecture,Belgorod region,Golovchino,"(Decimal('35.801664'), Decimal('50.534347'))"
Circum-Baikal Railway,architecture,Irkutsk region,Slyudyanka,"(Decimal('103.729867'), Decimal('51.658512'))"
Kuvshinovsky Compound,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
"Cultural and historical complex ""Tsarovokokshaysky Kremlin""",architecture,Mari El Republic,Yoshkar-Ola,"(Decimal('47.886178'), Decimal('56.631595'))"
Mound Badger log,architecture,The Republic of Khakassia,Moscow,"(Decimal('91.106121'), Decimal('53.928477'))"
Kыz-Kermen and Tepe-Kermen,architecture,Republic of Crimea,parking,"(Decimal('33.923233'), Decimal('44.699'))"
Ландшафтный сквер &quot;Дворянское гнездо&quot;,architecture,Oryol Region,Eagle,"(Decimal('36.05268'), Decimal('52.967176'))"
bird home,architecture,Republic of Crimea,Haspra,"(Decimal('34.128534'), Decimal('44.431153'))"
Lermontov gallery,architecture,Stavropol region,Pyatigorsk,"(Decimal('43.06448'), Decimal('44.062594'))"
Lermontov's playground in Kislovodsk,architecture,Stavropol region,Kislovodsk,"(Decimal('42.73788'), Decimal('43.868615'))"
literature house,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.278606'), Decimal('59.958525'))"
Lutheran Church Kakisalmi,architecture,Leningrad region,Priozersk,"(Decimal('30.102797'), Decimal('61.035748'))"
Mausoleum Borg-Kas,architecture,The Republic of Ingushetia,Pliev,"(Decimal('44.83585'), Decimal('43.285444'))"
Shop AF Pakleŭski-Kozell,architecture,Tyumen region,Tyumen,"(Decimal('65.534328'), Decimal('57.153033'))"
Shop MT Hurykova,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
Store PP Klabukova,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Shop S. I. Ivanova,architecture,Tyumen region,Tyumen,"(Decimal('65.534328'), Decimal('57.153033'))"
Store merchant JS Kardakov,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
"Shop trading house ""GP Kositsyn sons """,architecture,Amur region,Blagoveshchensk,"(Decimal('127.599587'), Decimal('50.366046'))"
"Shops partnership ""Malakhov Brothers"" and Trade House ""V. Alekseev and his sons'",architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
Maikop Gendarme Administration,architecture,Republic of Adygea,Maikop,"(Decimal('40.098548'), Decimal('44.608865'))"
"Layout ""Architectural miniatures""",architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Small flour series,architecture,Kostroma region,Kostroma,"(Decimal('40.924792'), Decimal('57.767568'))"
Small Marble Palace,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.297668'), Decimal('59.929263'))"
Maly Gostiny Dvor,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
Manege of the Cadet Corps,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.383871'), Decimal('59.969628'))"
Manezh Square,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.340329'), Decimal('59.935899'))"
"Manufakturnыy shop ""Lyzhotyan""",architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
Mariinsky Hospital,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.323216'), Decimal('59.879823'))"
Mariinsky Women's Institute,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
oil ranks,architecture,Kostroma region,Kostroma,"(Decimal('40.924792'), Decimal('57.767568'))"
Workshop manuals,architecture,Kirov region,Kirov,"(Decimal('49.668014'), Decimal('58.603591'))"
Lighthouse,architecture,The Republic of Dagestan,Makhachkala,"(Decimal('47.548583'), Decimal('42.938921'))"
Kalashnikov mill,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
The mill and the estate Borel,architecture,Volgograd region,manufactory,"(Decimal('44.687727'), Decimal('50.81906'))"
Merchant mill Barkov,architecture,Belgorod region,Novoivanovka,"(Decimal('37.77264'), Decimal('50.920639'))"
Mills-stolbovki in Kimzha,architecture,Arhangelsk region,Kimja,"(Decimal('44.038523'), Decimal('64.928708'))"
Memorial Arch of Friendship,architecture,Kabardino-Balkar Republic,Nalchik,"(Decimal('43.646166'), Decimal('43.500209'))"
Plaque Yesenin SA,architecture,St. Petersburg,St. Petersburg,"(Decimal('28.993566'), Decimal('59.490493'))"
Memorial house-museum of the artist Ivan Krylov,architecture,Rostov region,Novocherkassk,"(Decimal('40.093725'), Decimal('47.422052'))"
"The memorial complex ""Soldier Field""",architecture,Volgograd region,hillfort,"(Decimal('44.476192'), Decimal('48.809658'))"
Location of Pushkin's duel,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.315868'), Decimal('59.939095'))"
Philistine police part of the fire-tower,architecture,Voronezh region,Voronezh,"(Decimal('41.09222'), Decimal('51.354306'))"
Millionnaya Street 4,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.325354'), Decimal('59.943931'))"
